id,annotator,start,end,category,class,
arousseau_1641326148818,arousseau,471,511,Figure : Métaphore,unit,
arousseau_1641326162698,arousseau,601,640,Figure : Métaphore,unit,
arousseau_1641326175431,arousseau,645,681,Figure : Métaphore,unit,
arousseau_1641326237146,arousseau,1076,1163,Figure : Métaphore,unit,
arousseau_1641326616665,arousseau,575,597,Figure : Métonymie,unit,
arousseau_1641326769825,arousseau,981,1074,Figure : Métonymie,unit,
arousseau_1641326794513,arousseau,1395,1432,Figure : Métonymie,unit,
arousseau_1641326854834,arousseau,1571,1619,Figure : Synecdoque,unit,
arousseau_1641326881105,arousseau,1712,1750,Figure : Métaphore,unit,
awidloch_1620718292948,awidloch,1619,1792,Structure : Strophe,unit,
awidloch_1620718257793,awidloch,894,1074,Structure : Strophe,unit,
awidloch_1620718269518,awidloch,1253,1433,Structure : Strophe,unit,
awidloch_1620718242704,awidloch,556,730,Structure : Strophe,unit,
awidloch_1620718229728,awidloch,207,378,Structure : Strophe,unit,
arousseau_1641315167071,arousseau,730,894,Structure : Strophe,unit,
awidloch_1620718265579,awidloch,1074,1253,Structure : Strophe,unit,
awidloch_1620718221413,awidloch,29,207,Structure : Strophe,unit,
awidloch_1620718235184,awidloch,378,556,default,unit,
arousseau_1641326810726,arousseau,1433,1476,Figure : Métonymie,unit,
awidloch_1620718290660,awidloch,1433,1619,Structure : Strophe,unit,
arousseau_1641326908987,arousseau,76,205,Interprétation : Mal / Obscurité,unit,
arousseau_1641326923432,arousseau,211,378,Interprétation : Mal / Obscurité,unit,
arousseau_1641326932276,arousseau,425,556,Interprétation : Mal / Obscurité,unit,
arousseau_1641326942578,arousseau,511,534,Interprétation : Bien / Lumière,unit,
arousseau_1641326954989,arousseau,556,730,Interprétation : Mal / Obscurité,unit,
arousseau_1641326972493,arousseau,730,768,Interprétation : Mal / Obscurité,unit,
arousseau_1641326995257,arousseau,812,894,Interprétation : Mal / Obscurité,unit,
arousseau_1641327016836,arousseau,894,1074,Interprétation : Bien / Lumière,unit,
arousseau_1641327023105,arousseau,1076,1253,Interprétation : Bien / Lumière,unit,
arousseau_1641327042534,arousseau,1253,1432,Interprétation : Mal / Obscurité,unit,
arousseau_1641327059028,arousseau,1433,1619,Interprétation : Mal / Obscurité,unit,
arousseau_1641327064686,arousseau,1433,1476,Interprétation : Bien / Lumière,unit,
arousseau_1641327089323,arousseau,1666,1712,Interprétation : Mal / Obscurité,unit,
21914480_1641314453103,21914480,85,93,Syntaxe : Verbe,unit,
21914480_1641314755823,21914480,155,161,Syntaxe : Verbe,unit,
21914480_1641314761172,21914480,191,196,Syntaxe : Verbe,unit,
21914480_1641314838319,21914480,306,310,Syntaxe : Verbe,unit,
21914480_1641314842517,21914480,355,362,Syntaxe : Verbe,unit,
21914480_1641314886695,21914480,477,481,Syntaxe : Verbe,unit,
21914480_1641314915594,21914480,559,564,Syntaxe : Verbe,unit,
21914480_1641314918597,21914480,588,597,Syntaxe : Verbe,unit,
21914480_1641314924508,21914480,646,653,Syntaxe : Verbe,unit,
21914480_1641314929372,21914480,691,697,Syntaxe : Verbe,unit,
21914480_1641314933949,21914480,735,741,Syntaxe : Verbe,unit,
21914480_1641314939072,21914480,775,785,Syntaxe : Verbe,unit,
21914480_1641314945064,21914480,822,829,Syntaxe : Verbe,unit,
